STO sub Energy,STO sub Absorption,Stoichiometric STO Energy,Stoichiometric STO Absorption,Off stoichiometric STO Energy,Off stoichiometric STO Absorption
0.478672071,25.2864,0.478672071,25.0918,0.478672071,83.0651
0.478764479,25.2716,0.478764479,25.0315,0.478764479,83.0826
0.478856922,25.2773,0.478856922,24.9976,0.478856922,83.1343
0.478949401,25.2601,0.478949401,24.962,0.478949401,83.187
0.479041916,25.2356,0.479041916,24.8814,0.479041916,83.2048
0.479134467,25.1784,0.479134467,24.8195,0.479134467,83.2308
0.479227053,25.1308,0.479227053,24.771,0.479227053,83.2283
0.479319675,25.0894,0.479319675,24.729,0.479319675,83.2253
0.479412333,25.0377,0.479412333,24.6775,0.479412333,83.2037
0.479505027,25.0152,0.479505027,24.6504,0.479505027,83.1753
0.479597757,24.951,0.479597757,24.5948,0.479597757,83.1418
0.479690522,24.927,0.479690522,24.5521,0.479690522,83.0987
0.479783324,24.9033,0.479783324,24.5339,0.479783324,83.0725
0.479876161,24.9135,0.479876161,24.5526,0.479876161,83.0587
0.479969034,24.9211,0.479969034,24.5847,0.479969034,83.0223
0.480061943,24.9677,0.480061943,24.6207,0.480061943,82.9898
0.480154889,25.0039,0.480154889,24.6927,0.480154889,82.9611
0.48024787,25.0626,0.48024787,24.7733,0.48024787,82.9652
0.480340887,25.1087,0.480340887,24.8537,0.480340887,82.9613
0.48043394,25.1486,0.48043394,24.9386,0.48043394,82.9381
0.48052703,25.212,0.48052703,25.0603,0.48052703,82.9447
0.480620155,25.2321,0.480620155,25.1459,0.480620155,82.9462
0.480713317,25.2724,0.480713317,25.2529,0.480713317,82.9522
0.480806514,25.3132,0.480806514,25.3404,0.480806514,82.9778
0.480899748,25.3536,0.480899748,25.435,0.480899748,82.9825
0.480993018,25.3842,0.480993018,25.5275,0.480993018,83.0103
0.481086324,25.3797,0.481086324,25.5795,0.481086324,83.0072
0.481179666,25.3696,0.481179666,25.6203,0.481179666,83.0307
0.481273045,25.349,0.481273045,25.6488,0.481273045,83.0197
0.48136646,25.325,0.48136646,25.6638,0.48136646,82.9996
0.481459911,25.3044,0.481459911,25.6637,0.481459911,82.9912
0.481553398,25.2784,0.481553398,25.6533,0.481553398,82.9718
0.481646922,25.2349,0.481646922,25.6283,0.481646922,82.9518
0.481740482,25.2009,0.481740482,25.6031,0.481740482,82.933
0.481834078,25.1411,0.481834078,25.5629,0.481834078,82.907
0.481927711,25.0879,0.481927711,25.5127,0.481927711,82.8909
0.48202138,25.048,0.48202138,25.4902,0.48202138,82.8659
0.482115086,25.0213,0.482115086,25.4395,0.482115086,82.8459
0.482208828,25.0246,0.482208828,25.4063,0.482208828,82.8353
0.482302606,25.0364,0.482302606,25.3709,0.482302606,82.8287
0.482396421,25.065,0.482396421,25.3548,0.482396421,82.8326
0.482490272,25.099,0.482490272,25.3226,0.482490272,82.8476
0.48258416,25.1247,0.48258416,25.3104,0.48258416,82.8552
