STO sub two theta,STO sub Int,STOonSTO two theta,STOonSTO Int,STOonLSAT sub two theta,STOonLSAT Int
47.925,9,46.2125,781,47.925,23
47.93,6,46.215,825,47.93,21
47.935,3,46.2175,826,47.935,33
47.94,6,46.22,872,47.94,31
47.945,4,46.2225,984,47.945,28
47.95,6,46.225,937,47.95,28
47.955,2,46.2275,1073,47.955,27
47.96,4,46.23,1163,47.96,18
47.965,4,46.2325,1181,47.965,26
47.97,5,46.235,1247,47.97,27
47.975,7,46.2375,1297,47.975,29
47.98,5,46.24,1428,47.98,32
47.985,4,46.2425,1477,47.985,31
47.99,4,46.245,1492,47.99,33
47.995,4,46.2475,1570,47.995,33
48,4,46.25,1617,48,25
48.005,5,46.2525,1763,48.005,30
48.01,4,46.255,1762,48.01,30
48.015,3,46.2575,1751,48.015,32
48.02,6,46.26,1834,48.02,34
48.025,6,46.2625,1985,48.025,24
48.03,2,46.265,2115,48.03,20
48.035,1,46.2675,2235,48.035,22
48.04,5,46.27,2297,48.04,22
48.045,2,46.2725,2412,48.045,23
48.05,1,46.275,2497,48.05,21
48.055,3,46.2775,2508,48.055,25
48.06,4,46.28,2706,48.06,18
48.065,4,46.2825,2758,48.065,19
48.07,10,46.285,2978,48.07,10
48.075,9,46.2875,3024,48.075,19
48.08,4,46.29,3176,48.08,13
48.085,6,46.2925,3443,48.085,16
48.09,3,46.295,3459,48.09,29
48.095,4,46.2975,3633,48.095,18
48.1,0,46.3,3829,48.1,15
48.105,2,46.3025,4104,48.105,18
48.11,2,46.305,4227,48.11,23
48.115,4,46.3075,4350,48.115,21
48.12,3,46.31,4615,48.12,23
48.125,3,46.3125,4972,48.125,22
48.13,2,46.315,5191,48.13,22
48.135,2,46.3175,5502,48.135,16
48.14,5,46.32,5876,48.14,21
48.145,4,46.3225,6304,48.145,16
48.15,3,46.325,6664,48.15,15
48.155,6,46.3275,7084,48.155,19
48.16,3,46.33,7416,48.16,14
48.165,4,46.3325,8016,48.165,20
48.17,3,46.335,8666,48.17,11
48.175,4,46.3375,9254,48.175,9
48.18,3,46.34,10105,48.18,13
48.185,8,46.3425,11118,48.185,17
48.19,5,46.345,12604,48.19,10
48.195,6,46.3475,14189,48.195,9
48.2,5,46.35,16175,48.2,12
48.205,4,46.3525,18388,48.205,8
48.21,4,46.355,21200,48.21,9
48.215,2,46.3575,24464,48.215,13
48.22,7,46.36,28477,48.22,9
48.225,3,46.3625,33973,48.225,5
48.23,1,46.365,40569,48.23,9
48.235,5,46.3675,46263,48.235,6
