Stoichiometroic Energy,Stoichiometroic Int,Off stoichiometroic Energy,Off stoichiometroic Int
4.98,32,4.98,27
4.99,30,4.99,18
5,22,5,26
5.01,21,5.01,13
5.02,12,5.02,8
5.03,8,5.03,11
5.04,15,5.04,6
5.05,9,5.05,4
5.06,6,5.06,9
5.07,3,5.07,4
5.08,5,5.08,2
5.09,2,5.09,4
5.1,5,5.1,7
5.11,1,5.11,1
5.12,2,5.12,3
5.13,2,5.13,2
5.14,3,5.14,1
5.15,2,5.15,4
5.16,4,5.16,3
5.17,2,5.17,1
5.18,1,5.18,4
5.19,3,5.19,3
5.2,5,5.2,1
5.21,0,5.21,3
5.22,2,5.22,2
5.23,0,5.23,2
5.24,0,5.24,1
5.25,5,5.25,0
5.26,0,5.26,1
5.27,4,5.27,3
5.28,2,5.28,2
5.29,3,5.29,3
5.3,2,5.3,1
5.31,0,5.31,3
5.32,2,5.32,5
5.33,1,5.33,3
5.34,0,5.34,5
5.35,3,5.35,1
5.36,1,5.36,1
5.37,3,5.37,1
5.38,0,5.38,3
5.39,1,5.39,3
5.4,2,5.4,1
5.41,2,5.41,1
5.42,3,5.42,2
5.43,2,5.43,4
5.44,2,5.44,3
5.45,2,5.45,2
5.46,2,5.46,2
5.47,3,5.47,2
5.48,2,5.48,5
5.49,0,5.49,3
5.5,5,5.5,7
5.51,2,5.51,1
5.52,3,5.52,2
5.53,3,5.53,4
5.54,6,5.54,5
5.55,2,5.55,4
5.56,1,5.56,0
5.57,1,5.57,3
5.58,2,5.58,2
5.59,2,5.59,3
5.6,4,5.6,1
5.61,5,5.61,1
5.62,0,5.62,4
5.63,0,5.63,2
5.64,0,5.64,2
5.65,2,5.65,3
5.66,3,5.66,2
5.67,1,5.67,2
5.68,0,5.68,2
5.69,3,5.69,5
5.7,4,5.7,2
5.71,2,5.71,2
5.72,4,5.72,0
5.73,0,5.73,4
5.74,2,5.74,3
5.75,7,5.75,0
5.76,1,5.76,1
5.77,1,5.77,4
5.78,1,5.78,1
5.79,5,5.79,1
5.8,1,5.8,0
5.81,3,5.81,3
5.82,1,5.82,1
5.83,2,5.83,2
5.84,0,5.84,1
5.85,1,5.85,0
5.86,5,5.86,2
5.87,2,5.87,0
5.88,1,5.88,0
5.89,2,5.89,0
5.9,3,5.9,2
5.91,3,5.91,0
5.92,4,5.92,4
5.93,0,5.93,2
5.94,3,5.94,0
5.95,2,5.95,2
5.96,4,5.96,0
5.97,1,5.97,0
5.98,2,5.98,0
5.99,6,5.99,2
6,4,6,2
6.01,1,6.01,0
6.02,2,6.02,2
6.03,6,6.03,2
6.04,0,6.04,6
6.05,0,6.05,1
6.06,6,6.06,3
6.07,3,6.07,2
6.08,1,6.08,0
6.09,2,6.09,2
6.1,2,6.1,3
6.11,1,6.11,2
6.12,3,6.12,1
6.13,3,6.13,2
6.14,1,6.14,0
6.15,2,6.15,4
6.16,1,6.16,2
6.17,0,6.17,0
6.18,3,6.18,2
6.19,1,6.19,2
6.2,0,6.2,4
6.21,1,6.21,1
6.22,1,6.22,1
6.23,4,6.23,0
6.24,4,6.24,2
6.25,0,6.25,4
6.26,3,6.26,0
6.27,2,6.27,1
6.28,3,6.28,2
6.29,3,6.29,3
6.3,3,6.3,2
6.31,3,6.31,2
6.32,1,6.32,0
6.33,5,6.33,2
6.34,6,6.34,4
6.35,2,6.35,2
6.36,6,6.36,4
6.37,6,6.37,7
6.38,3,6.38,4
6.39,3,6.39,8
6.4,6,6.4,5
6.41,6,6.41,3
6.42,8,6.42,6
6.43,3,6.43,5
